monitor,source_file
Acer KG241Y Sbiip,csv_files/monitor.csv
AOC CQ27G2U/BK,csv_files/monitor.csv
Philips 242E1GSJ,csv_files/monitor.csv
Asus ProArt Display PA32DC,csv_files/monitor.csv
MSI Optix MAG281URF,csv_files/monitor.csv
LG 48GQ900-B,csv_files/monitor.csv
Asus VG279Q1A,csv_files/monitor.csv
Acer XV320QU LVbmiiphx,csv_files/monitor.csv
MSI Optix MAG301RF,csv_files/monitor.csv
Asus ROG Strix XG27AQV,csv_files/monitor.csv
Acer R240HY bidx,csv_files/monitor.csv
Samsung LC27F396FHNXZA,csv_files/monitor.csv
Dell S3222DGM,csv_files/monitor.csv
Sceptre E205W-1600,csv_files/monitor.csv
Sceptre E205W-16003R,csv_files/monitor.csv
Asus VP229HE,csv_files/monitor.csv
LG 27GP700-B,csv_files/monitor.csv
BenQ MOBIUZ EX2510S,csv_files/monitor.csv
LG 27GP83B-B,csv_files/monitor.csv
Asus ROG Swift PG32UQX,csv_files/monitor.csv
LG 24GL600F-B,csv_files/monitor.csv
Acer HA220Q Bbix,csv_files/monitor.csv
MSI Optix G272,csv_files/monitor.csv
Gigabyte AORUS FO48U,csv_files/monitor.csv
Asus TUF GAMING VG247Q1A,csv_files/monitor.csv
Acer ED270R Sbiipx,csv_files/monitor.csv
Gigabyte G27F 2,csv_files/monitor.csv
LG 32GQ950-B,csv_files/monitor.csv
HP X27q,csv_files/monitor.csv
Samsung Odyssey G52A,csv_files/monitor.csv
Samsung LC27G55TQWEXXY,csv_files/monitor.csv
MSI Optix MAG342CQPV,csv_files/monitor.csv
Asus ROG Strix XG49VQ,csv_files/monitor.csv
LG 34GP83A-B,csv_files/monitor.csv
AOC 27B2H,csv_files/monitor.csv
MSI Optix G274,csv_files/monitor.csv
AOC G2490VX,csv_files/monitor.csv
Gigabyte AORUS FI32Q-X,csv_files/monitor.csv
LG 27GQ50F-B,csv_files/monitor.csv
Gigabyte ‎G32QC A,csv_files/monitor.csv
Asus ROG Strix XG27UQR,csv_files/monitor.csv
X= XG22VA,csv_files/monitor.csv
LG UltraGear ‎27GN650-B,csv_files/monitor.csv
Samsung Odyssey Neo G7,csv_files/monitor.csv
LG 22BK430H-B,csv_files/monitor.csv
Acer XV322QK V,csv_files/monitor.csv
Alienware AW2721D,csv_files/monitor.csv
AOC CQ27G2,csv_files/monitor.csv
MSI Optix MAG251RX,csv_files/monitor.csv
Xiaomi Mi,csv_files/monitor.csv
Sceptre C248W-1920RN,csv_files/monitor.csv
Asus TUF GAMING VG24VQE,csv_files/monitor.csv
Asus VG32VQ1B,csv_files/monitor.csv
Corsair XENEON 32QHD165,csv_files/monitor.csv
Acer AOPEN ‎34HC5CUR Pbmiiphx,csv_files/monitor.csv
MSI Optix MAG321CQR,csv_files/monitor.csv
Dell G3223D,csv_files/monitor.csv
Samsung Odyssey G55A,csv_files/monitor.csv
ASRock PG34WQ15R2B,csv_files/monitor.csv
AOC C32G2ZE/BK,csv_files/monitor.csv
LG 24MK430H-B,csv_files/monitor.csv
AOC 27G2,csv_files/monitor.csv
AOC C27G2,csv_files/monitor.csv
LG UltraGear 34GP950G-B,csv_files/monitor.csv
Alienware AW2720HF,csv_files/monitor.csv
BenQ GW2480,csv_files/monitor.csv
AOC Q27G2S,csv_files/monitor.csv
Asus TUF GAMING VG277Q1A,csv_files/monitor.csv
BenQ MOBIUZ EX2710Q,csv_files/monitor.csv
MSI Optix G273QF,csv_files/monitor.csv
LG 24MP60G-B,csv_files/monitor.csv
LG 27GL650F-B,csv_files/monitor.csv
Samsung C49RG9,csv_files/monitor.csv
MSI G244F,csv_files/monitor.csv
Sceptre E248W-1920,csv_files/monitor.csv
Acer Predator XB273 GZ,csv_files/monitor.csv
Dell G2422HS,csv_files/monitor.csv
HP M24FW,csv_files/monitor.csv
MSI Optix G32C4,csv_files/monitor.csv
iiyama GB2470HSU-B1,csv_files/monitor.csv
Samsung LU32J590UQNXZA,csv_files/monitor.csv
Philips 272E1GSJ,csv_files/monitor.csv
Asus VG289Q1A,csv_files/monitor.csv
AOC 24G2U/BK,csv_files/monitor.csv
Cooler Master TEMPEST GP27U,csv_files/monitor.csv
LG 27GN600-B,csv_files/monitor.csv
Acer VG271U Sbmiipx,csv_files/monitor.csv
ViewSonic VX2718-PC-MHD,csv_files/monitor.csv
ViewSonic VA1903H,csv_files/monitor.csv
MSI Optix MPG321QRF-QD,csv_files/monitor.csv
Acer Predator XB271HUA,csv_files/monitor.csv
Pixio PX277P,csv_files/monitor.csv
Dell S2721DS,csv_files/monitor.csv
Asus ROG Strix XG276Q,csv_files/monitor.csv
Asus ROG Strix XG259CM,csv_files/monitor.csv
Gigabyte AORUS FI32U,csv_files/monitor.csv
LG UltraGear 34GP63A-B,csv_files/monitor.csv
AOC G2 CQ32G2S,csv_files/monitor.csv
Dell S2721HGF,csv_files/monitor.csv
Samsung LF27T350FHNXZA,csv_files/monitor.csv
Acer XV322QU KVbmiiphzx,csv_files/monitor.csv
BenQ GL2480,csv_files/monitor.csv
Asus VG258QR,csv_files/monitor.csv
LG 32GN550-B,csv_files/monitor.csv
Asus TUF Gaming VG32AQL1A,csv_files/monitor.csv
Asus ROG Swift PG32UQ,csv_files/monitor.csv
Asus ProArt Display PA279CV,csv_files/monitor.csv
AOC U2790VQ,csv_files/monitor.csv
Dell S2721QS,csv_files/monitor.csv
Gigabyte G34WQC,csv_files/monitor.csv
Asus ROG SWIFT PG35VQ,csv_files/monitor.csv
Asus VG279QR,csv_files/monitor.csv
Acer XV282K KVBMIIPRUZX,csv_files/monitor.csv
Samsung Odyssey G9 C49G97T,csv_files/monitor.csv
Samsung Odyssey G30A,csv_files/monitor.csv
Gigabyte ‎G24F,csv_files/monitor.csv
Dell U2723QE,csv_files/monitor.csv
Pixio PX278,csv_files/monitor.csv
Asus TUF Gaming VG258QM,csv_files/monitor.csv
NZXT Canvas 27Q,csv_files/monitor.csv
LG UltraGear 38GN950-B,csv_files/monitor.csv
AOC 24B1H,csv_files/monitor.csv
Lenovo G24qe-20,csv_files/monitor.csv
Asus VP248QG,csv_files/monitor.csv
Acer EK220Q Abi,csv_files/monitor.csv
Acer Nitro XV252QF,csv_files/monitor.csv
LG 27UL500-W,csv_files/monitor.csv
Samsung Odyssey G52A,csv_files/monitor.csv
BenQ Mobiuz EX3410R,csv_files/monitor.csv
Asus ROG Strix XG309CM,csv_files/monitor.csv
Acer Predator XB283K KV,csv_files/monitor.csv
Gigabyte AORUS FV43U,csv_files/monitor.csv
Asus VG259QR,csv_files/monitor.csv
Alienware AW2521H,csv_files/monitor.csv
HP X34,csv_files/monitor.csv
Acer ED323QU Pbmiippx,csv_files/monitor.csv
LG 65EP5G-B,csv_files/monitor.csv
Samsung LC27RG50FQNXZA,csv_files/monitor.csv
MSI Optix G242,csv_files/monitor.csv
Asus ROG Swift PG65UQ,csv_files/monitor.csv
ViewSonic XG2705-2K OMNI,csv_files/monitor.csv
MSI Optix G241VC,csv_files/monitor.csv
LG 28MQ780-B,csv_files/monitor.csv
Sony INZONE M9,csv_files/monitor.csv
Acer PREDATOR X35 bmiphzx,csv_files/monitor.csv
MSI Optix 271CQP,csv_files/monitor.csv
Asus ProArt Display PA248QV,csv_files/monitor.csv
Lenovo G24e-20,csv_files/monitor.csv
LG 34WP65C-B,csv_files/monitor.csv
LG 32GN650-B,csv_files/monitor.csv
Asus VG245H,csv_files/monitor.csv
Acer XF243Y Pbmiiprx,csv_files/monitor.csv
Dell S2716DG,csv_files/monitor.csv
LG 27UP600-W,csv_files/monitor.csv
Asus ROG Strix XG27AQ,csv_files/monitor.csv
Gigabyte M28U Arm Edition,csv_files/monitor.csv
LG 27GN750-B,csv_files/monitor.csv
Gigabyte G27QC,csv_files/monitor.csv
Dell S2422HG,csv_files/monitor.csv
Sceptre E248W-FPT,csv_files/monitor.csv
Razer RAPTOR 27,csv_files/monitor.csv
BenQ PD2700U,csv_files/monitor.csv
Asus VG27VH1B,csv_files/monitor.csv
LG 32EP950-B,csv_files/monitor.csv
Sceptre E255B-1658A,csv_files/monitor.csv
Acer RG321QU Pbiipx,csv_files/monitor.csv
HP Omen 27i,csv_files/monitor.csv
Asus ROG Strix XG248Q,csv_files/monitor.csv
Alienware AW2518H,csv_files/monitor.csv
LG 22MK430H-B,csv_files/monitor.csv
Samsung Odyssey G55A,csv_files/monitor.csv
Asus ROG Strix XG27AQ-W,csv_files/monitor.csv
ViewSonic VA2447-MH,csv_files/monitor.csv
Asus TUF Gaming VG289Q,csv_files/monitor.csv
Asus PG279Q ROG Swift,csv_files/monitor.csv
LG 24MP400-B,csv_files/monitor.csv
Asus TUF Gaming VG27VQM,csv_files/monitor.csv
Samsung Odyssey G7,csv_files/monitor.csv
Asus TUF GAMING VG279QL1A,csv_files/monitor.csv
Samsung UR59C,csv_files/monitor.csv
Acer EB321HQU Cbidpx,csv_files/monitor.csv
Samsung Odyssey G32A,csv_files/monitor.csv
Acer VG281K bmiipx,csv_files/monitor.csv
Sceptre E248W-19203R,csv_files/monitor.csv
Dell S2421HGF,csv_files/monitor.csv
ViewSonic ELITE XG320Q,csv_files/monitor.csv
AOC E2270SWHN,csv_files/monitor.csv
MSI MEG 342C QD OLED,csv_files/monitor.csv
Cooler Master Tempest,csv_files/monitor.csv
LG 26WQ500-B,csv_files/monitor.csv
ViewSonic VX3218-PC-MHD,csv_files/monitor.csv
Dell AW3821DW,csv_files/monitor.csv
BenQ GL2780,csv_files/monitor.csv
MSI Optix G32CQ4 E2,csv_files/monitor.csv
ViewSonic VX3211-4K-MHD,csv_files/monitor.csv
LG 32GN63T-B,csv_files/monitor.csv
Asus VA229HR,csv_files/monitor.csv
Gigabyte ‎G27FC A,csv_files/monitor.csv
MSI Optix G27C4,csv_files/monitor.csv
iiyama G-Master GB3466WQSU-B1,csv_files/monitor.csv
MSI Optix MAG274QRX,csv_files/monitor.csv
LG 29WQ600-W,csv_files/monitor.csv
Asus ProArt Display PA329CV,csv_files/monitor.csv
Asus TUF Gaming VG24VQ,csv_files/monitor.csv
Asus VA27EHE,csv_files/monitor.csv
Acer K202HQL bi,csv_files/monitor.csv
MSI Optix MAG241C,csv_files/monitor.csv
BenQ XL2540,csv_files/monitor.csv
Asus TUF Gaming VG30VQL1A,csv_files/monitor.csv
MSI Optix MEG381CQR Plus,csv_files/monitor.csv
Acer XB271HU bmiprz,csv_files/monitor.csv
iiyama G-MASTER RED EAGLE,csv_files/monitor.csv
Dell P2419H,csv_files/monitor.csv
Philips 275E1S/00,csv_files/monitor.csv
Sceptre E248W-19203S,csv_files/monitor.csv
Dell S2417DG,csv_files/monitor.csv
Asus VS228H-P,csv_files/monitor.csv
Asus ROG Strix XG438Q,csv_files/monitor.csv
LG 27MP400-B,csv_files/monitor.csv
Corsair XENEON 32UHD144,csv_files/monitor.csv
BenQ GW2283,csv_files/monitor.csv
Acer Nitro XZ272U Pbmiiphx,csv_files/monitor.csv
Dell SE2723DS,csv_files/monitor.csv
Acer EB321HQ Awi,csv_files/monitor.csv
MSI Optix G251F,csv_files/monitor.csv
Sceptre C325B-185RD,csv_files/monitor.csv
LG 27QN600-B,csv_files/monitor.csv
Asus ROG Swift PG329Q,csv_files/monitor.csv
Acer VG271U Pbmiipx,csv_files/monitor.csv
BenQ MOBIUZ EX3210U,csv_files/monitor.csv
ViewSonic VX2718-P-MHD,csv_files/monitor.csv
Asus TUF Gaming VG328H1B,csv_files/monitor.csv
Acer V277U,csv_files/monitor.csv
Acer XZ342CU S,csv_files/monitor.csv
Samsung CRG5,csv_files/monitor.csv
Samsung C24RG50,csv_files/monitor.csv
Samsung C34F791,csv_files/monitor.csv
Acer Nitro VG242YP,csv_files/monitor.csv
ViewSonic OMNI,csv_files/monitor.csv
Acer CB272U smiiprx,csv_files/monitor.csv
Acer XV240Y Pbmiiprx,csv_files/monitor.csv
Lenovo Legion Y25-25,csv_files/monitor.csv
NZXT Canvas 32Q,csv_files/monitor.csv
HP OMEN 25,csv_files/monitor.csv
AOC G2460PF,csv_files/monitor.csv
Dell G2722HS,csv_files/monitor.csv
Pixio PX243,csv_files/monitor.csv
AOC G2590FX,csv_files/monitor.csv
BenQ XL2411,csv_files/monitor.csv
Dell S2722QC,csv_files/monitor.csv
Asus ProArt Display PA278CV,csv_files/monitor.csv
Alienware AW3420DW,csv_files/monitor.csv
Corsair XENEON 32QHD240,csv_files/monitor.csv
Gigabyte G32QC,csv_files/monitor.csv
LG 40WP95C-W,csv_files/monitor.csv
LG 32QN600-B,csv_files/monitor.csv
Asus ProArt Display PA328CGV,csv_files/monitor.csv
ViewSonic VX2758-2KP-MHD,csv_files/monitor.csv
iiyama G-MASTER BLACK HAWK,csv_files/monitor.csv
LG 27GP750-B,csv_files/monitor.csv
Acer QG271 bi,csv_files/monitor.csv
AOC Agon AG493UCX,csv_files/monitor.csv
Acer GN246HL,csv_files/monitor.csv
Acer Nitro XZ6,csv_files/monitor.csv
AOC CQ27G3S,csv_files/monitor.csv
Samsung CR500,csv_files/monitor.csv
Acer ED273U Abmiipx,csv_files/monitor.csv
X= XG24IPS,csv_files/monitor.csv
Sceptre C275W-1920RN,csv_files/monitor.csv
HUAWEI MateView GT Sound Edition,csv_files/monitor.csv
Acer Nitro VG240Y bmiix,csv_files/monitor.csv
ViewEra V158HB,csv_files/monitor.csv
MSI MPG ARTYMIS 273CQR-QD,csv_files/monitor.csv
Acer Predator X34,csv_files/monitor.csv
AOC 27G2U/BK,csv_files/monitor.csv
Acer XFA240 bmjdpr,csv_files/monitor.csv
HP X32,csv_files/monitor.csv
MSI Optix MAG301CR2,csv_files/monitor.csv
Asus TUF GAMING VG27WQ,csv_files/monitor.csv
LG 34WP60C-B,csv_files/monitor.csv
Asus TUF Gaming VG24VQ1B,csv_files/monitor.csv
ViewSonic VX2468-PC-MHD,csv_files/monitor.csv
LG 34GL750-B,csv_files/monitor.csv
Asus ProArt Display PA247CV,csv_files/monitor.csv
ViewSonic XG2405 OMNI,csv_files/monitor.csv
Lenovo G27q-20,csv_files/monitor.csv
Asus ROG Strix XG43UQ,csv_files/monitor.csv
LG 32GK850F-B,csv_files/monitor.csv
Asus VG279Q,csv_files/monitor.csv
Dell UltraSharp U2520D,csv_files/monitor.csv
HP OMEN 25i,csv_files/monitor.csv
BenQ MOBIUZ EX2710S,csv_files/monitor.csv
Gigabyte S55U,csv_files/monitor.csv
Samsung Odyssey G32A,csv_files/monitor.csv
Sceptre C275B-144RN,csv_files/monitor.csv
Asus ROG Swift PG43UQ,csv_files/monitor.csv
Asus VP28UQG,csv_files/monitor.csv
Samsung U28E590D,csv_files/monitor.csv
Philips 243V7QJAB,csv_files/monitor.csv
AOC CU34G3S/BK,csv_files/monitor.csv
Acer XB273U GXbmiipruzx,csv_files/monitor.csv
MSI Optix MPG341QR,csv_files/monitor.csv
ViewSonic VX3276-2K-MHD,csv_files/monitor.csv
BenQ GL2460HM,csv_files/monitor.csv
Acer XF250Q Cbmiiprx,csv_files/monitor.csv
Asus ROG Swift PG329Q-W,csv_files/monitor.csv
LG 38CB99-W,csv_files/monitor.csv
Alienware AW2518HF,csv_files/monitor.csv
Gigabyte G27FC,csv_files/monitor.csv
LG 32UL500-W,csv_files/monitor.csv
LG 24ML600M-B,csv_files/monitor.csv
Samsung CF390,csv_files/monitor.csv
MSI Optix G241V E2,csv_files/monitor.csv
Acer XV271 Zbmiiprx,csv_files/monitor.csv
LG 29WP60G-B,csv_files/monitor.csv
Samsung M80B,csv_files/monitor.csv
Philips 243V7QJABF/00,csv_files/monitor.csv
AOC C27G1,csv_files/monitor.csv
Dell S3220DGF,csv_files/monitor.csv
Acer V247Y,csv_files/monitor.csv
Acer Nitro VG270U,csv_files/monitor.csv
MSI Optix AG321CR,csv_files/monitor.csv
MSI Optix G24C6P,csv_files/monitor.csv
LG 27GN850-B,csv_files/monitor.csv
AOC AGON PRO AG275QXL,csv_files/monitor.csv
Samsung M70B,csv_files/monitor.csv
Asus ROG Swift PG32UQR,csv_files/monitor.csv
MSI Optix MAG27CQ,csv_files/monitor.csv
Samsung S24R350,csv_files/monitor.csv
Asus VA24DQSB,csv_files/monitor.csv
HP 27xq,csv_files/monitor.csv
Monoprice Dark Matter,csv_files/monitor.csv
ViewSonic VA2055SM,csv_files/monitor.csv
Corsair XENEON ​32UHD144-A,csv_files/monitor.csv
Philips 288E2E,csv_files/monitor.csv
Asus VA249HE,csv_files/monitor.csv
LG 35WN65C-B,csv_files/monitor.csv
Gigabyte AORUS FI27Q-P,csv_files/monitor.csv
Samsung SF350,csv_files/monitor.csv
Samsung CF398,csv_files/monitor.csv
MSI Optix G27C5,csv_files/monitor.csv
LG 38WN95C-W,csv_files/monitor.csv
Lenovo Legion Y27q-20,csv_files/monitor.csv
LG 22BL450Y-W,csv_files/monitor.csv
HP VH240a,csv_files/monitor.csv
Acer XV322QK Kvbmiiphuzx,csv_files/monitor.csv
Dell S3221QS,csv_files/monitor.csv
MSI Optix G274RW,csv_files/monitor.csv
Acer XB273U GSbmiiprzx,csv_files/monitor.csv
Samsung SJ55W,csv_files/monitor.csv
Razer Raptor 27,csv_files/monitor.csv
Acer ED271U Xbmiipx,csv_files/monitor.csv
Asus TUF GAMING VG259Q,csv_files/monitor.csv
Samsung Odyssey G3 F27G35TF,csv_files/monitor.csv
BenQ EX2780Q,csv_files/monitor.csv
MSI Optix MAG272CQR,csv_files/monitor.csv
Sceptre E225W-1920,csv_files/monitor.csv
X= XPRO27IPS,csv_files/monitor.csv
Acer 27HC5UR BMIIPX,csv_files/monitor.csv
MSI PRO MP271CW,csv_files/monitor.csv
ASRock PG34WQ15R3A,csv_files/monitor.csv
Sceptre E325W-2560AD,csv_files/monitor.csv
ViewSonic VP2756-4K,csv_files/monitor.csv
LG 34BK95U-W,csv_files/monitor.csv
Dell U3415W,csv_files/monitor.csv
Sceptre NEBULA,csv_files/monitor.csv
Asus TUF GAMING VG32VQ,csv_files/monitor.csv
ViewSonic ELITE XG270,csv_files/monitor.csv
Acer XV272U Xbmiipruzx,csv_files/monitor.csv
LG 32UN880-B,csv_files/monitor.csv
Dell S2722DGM,csv_files/monitor.csv
LG 27EP950,csv_files/monitor.csv
Dell C1422H,csv_files/monitor.csv
Samsung M70B,csv_files/monitor.csv
Acer KA242Y Abi,csv_files/monitor.csv
LG 34GK950G-B,csv_files/monitor.csv
MSI Optix AG321CQR,csv_files/monitor.csv
KTC G42P5,csv_files/monitor.csv
Asus VA279HAE,csv_files/monitor.csv
Asus VP229Q,csv_files/monitor.csv
LG 27MP60G-B,csv_files/monitor.csv
NZXT Canvas 27Q,csv_files/monitor.csv
Samsung Odyssey G7 T1 Faker Edition,csv_files/monitor.csv
AOC 24B1XHS,csv_files/monitor.csv
MSI Optix G24C6,csv_files/monitor.csv
LG 25UM58-P,csv_files/monitor.csv
Acer R242Y Ayi,csv_files/monitor.csv
Samsung CF396,csv_files/monitor.csv
Acer ED320QR Sbiipx,csv_files/monitor.csv
Asus ROG Strix XG27AQM,csv_files/monitor.csv
AOC Q27G2S/D,csv_files/monitor.csv
MSI Optix G32CQ4,csv_files/monitor.csv
Sceptre E275W-1920,csv_files/monitor.csv
Philips Evnia 34M2C8600,csv_files/monitor.csv
HP 27mx,csv_files/monitor.csv
